time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-05-01T05:13:49.532Z,63.1838,-151.9909,3.5,1.2,ml,,,,0.7,ak,ak0245lumeeh,2024-05-01T05:16:19.693Z,"41 km SSW of Denali National Park, Alaska",earthquake,,0.3,,,automatic,ak,ak
2024-05-01T05:10:51.120Z,38.5403333,-122.6795,4.91,1.1,md,27,84,0.044,0.06,nc,nc74043661,2024-05-01T06:48:22.759Z,"7 km ENE of Larkfield-Wikiup, CA",earthquake,0.19,0.47,0.074,20,reviewed,nc,nc
2024-05-01T05:07:43.130Z,19.3840007781982,-155.235504150391,-0.0700000002980232,2.21,ml,23,78,0.01144,0.200000003,hv,hv74202707,2024-05-01T05:10:21.980Z,"6 km S of Volcano, Hawaii",earthquake,0.16,0.25999999,0.45,12,automatic,hv,hv
2024-05-01T05:06:53.231Z,-23.0238,-66.2862,246.083,4.5,mb,35,43,1.745,0.9,us,us6000mvek,2024-05-01T07:24:07.040Z,"65 km WNW of El Aguilar, Argentina",earthquake,9.54,8.591,0.094,33,reviewed,us,us
2024-05-01T04:57:48.260Z,38.2298317,-121.2266693,3.34,2.12,md,7,188,0.6142,0.09,nc,nc74043656,2024-05-01T04:59:24.176Z,"4 km ENE of Collierville, CA",earthquake,5.19,9.54,,1,automatic,nc,nc
2024-05-01T04:51:43.160Z,19.386999130249,-155.279998779297,-0.469999998807907,1.84000003,md,10,118,0.001685,0.140000001,hv,hv74202667,2024-05-01T04:53:06.250Z,"7 km SW of Volcano, Hawaii",earthquake,0.29,0.340000004,0.389999986,7,automatic,hv,hv
2024-05-01T04:35:10.430Z,33.974,-117.1651667,15.11,1.37,ml,68,22,0.0273,0.17,ci,ci40734472,2024-05-01T04:46:13.420Z,"8 km NE of Moreno Valley, CA",earthquake,0.14,0.25,0.217,30,automatic,ci,ci
2024-05-01T04:32:36.268Z,62.765,-150.53,79.5,1,ml,,,,0.6,ak,ak0245lu50dm,2024-05-01T04:35:17.345Z,"32 km NNE of Petersville, Alaska",earthquake,,0.8,,,automatic,ak,ak
2024-05-01T04:27:15.670Z,38.7576675,-122.7405014,2.04,1.14,md,14,101,0.01284,0.03,nc,nc74043641,2024-05-01T04:28:48.835Z,"3 km SSE of The Geysers, CA",earthquake,0.43,0.47,0.32,14,automatic,nc,nc
2024-05-01T04:25:18.070Z,33.2655,-116.4345,3.72,1.1,ml,60,31,0.01478,0.21,ci,ci40734464,2024-05-01T04:31:30.143Z,"6 km W of Borrego Springs, CA",earthquake,0.16,0.29,0.172,26,automatic,ci,ci
